Ticker,ISIN,CUSIP,Name,Global Broad Category Group,Global Category,Morningstar Category,Domicile,Exchange,Exchange Country,SecId,Investment Type,Figi
QCD,CA00848G1000,00848G100,AGFiQ Enhanced Core Canadian,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7A,Exchange-Traded Fund,BBG00FS1RB72
QEM,CA00850F1071,00850F107,AGFiQ Enhanced Core Emerging Mkts Eq ETF,Equity,Emerging Markets Equity,Canada Fund Emerging Markets Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7B,Exchange-Traded Fund,BBG00FS1RFK8
QIE,CA00851M1014,00851M101,AGFiQ Enhanced Core International Eq ETF,Equity,Global Equity,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7D,Exchange-Traded Fund,BBG00FS1RN03
QUS,CA00850E1007,00850E100,AGFiQ Enhanced Core US Equity ETF,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7G,Exchange-Traded Fund,BBG00FS1RVJ5
QEF,CA00851P1045,00851P104,AGFiQ Enhanced Global ESG Factors ETF,Equity,Global Equity Large Cap,Canada Fund Global Equity,Canada,AEQUITAS NEO EXCHANGE,Canada,F000010436,Exchange-Traded Fund,BBG00K0D7437
QIF,CA00851N1096,00851N109,AGFiQ Enhanced Global Infrastructure ETF,Equity,Other Sector Equity,Canada Fund Global Infrastructure Equity,Canada,AEQUITAS NEO EXCHANGE,Canada,F000010435,Exchange-Traded Fund,BBG00K0D7801
QGL,CA00110J1057,00110J105,AGFiQ Global Equity Rotation ETF,Equity,Global Equity,Canada Fund Global Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7C,Exchange-Traded Fund,BBG00FS1RHW1
QMA,CA00111B1013,00111B101,AGFiQ Multi-Asset Allocation ETF,Allocation,Aggressive Allocation,Canada Fund Global Equity Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7E,Exchange-Traded Fund,BBG00FS1RPT7
QMY,CA00111A1030,00111A103,AGFiQ Multi-Asset Income Allocation ETF,Allocation,Cautious Allocation,Canada Fund Global Fixed Income Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F00000YE7F,Exchange-Traded Fund,BBG00FS1RS20
HGD,CA08661H1055,08661H105,BetaPro Cdn Gold Miners -2x DlyBear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHM,Exchange-Traded Fund,
HGU,CA08660K1093,08660K109,BetaPro Cdn Gold Miners 2x DlyBull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHL,Exchange-Traded Fund,
HOD,CA08662G1063,08662G106,BetaPro Crude Oil -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06OMI,Exchange-Traded Fund,
HOU,CA08663A1084,08663A108,BetaPro Crude Oil 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06OMH,Exchange-Traded Fund,
HBD,CA08661J1012,08661J101,BetaPro Gold Bullion -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06P0T,Exchange-Traded Fund,
HBU,CA08660N1033,08660N103,BetaPro Gold Bullion 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06P0S,Exchange-Traded Fund,
HQD,CA08662E1016,08662E101,BetaPro NASDAQ-100‘ -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06UU3,Exchange-Traded Fund,BBG000BD1ZS9
HQU,CA08661G1072,08661G107,BetaPro NASDAQ-100‘ 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06UU2,Exchange-Traded Fund,BBG000BD4VN0
HND,CA08661D1042,08661D104,BetaPro Natural Gas -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06OMG,Exchange-Traded Fund,
HNU,CA08661L1067,08661L106,BetaPro Natural Gas 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06OME,Exchange-Traded Fund,
HUV,CA08662V1114,08662V111,BetaPro S&P 500 VIX ST Futures ETF,Alternative,Other Alternative,Canada Fund Alternative Strategies,Canada,TORONTO STOCK EXCHANGE,Canada,F00000LNES,Exchange-Traded Fund,BBG001BK94X6
HSD,CA08661F1099,08661F109,BetaPro S&P 500‘ -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06UU1,Exchange-Traded Fund,BBG000BBG987
HSU,CA08662D1033,08662D103,BetaPro S&P 500‘ 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06UU0,Exchange-Traded Fund,BBG000BCGYS8
HIU,CA08662B1076,08662B107,BetaPro S&P 500‘ Daily Inverse ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,F000005QOY,Exchange-Traded Fund,BBG000Q9B1V2
HXD,CA08662A1093,08662A109,BetaPro S&P/TSX 60 -2x Daily Bear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHG,Exchange-Traded Fund,BBG000QPGTM0
HXU,CA08661E2015,08661E201,BetaPro S&P/TSX 60 2x Daily Bull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHF,Exchange-Traded Fund,BBG000QPHCL7
HIX,CA08661X1006,08661X100,BetaPro S&P/TSX 60 Daily Inverse ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,F000002L3F,Exchange-Traded Fund,BBG000BZS222
HED,CA08663H1038,08663H103,BetaPro S&P/TSX Cap Engy -2xDlyBear ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHK,Exchange-Traded Fund,BBG000BGSBV2
HEU,CA08662R1029,08662R102,BetaPro S&P/TSX Cap Engy 2xDlyBull ETF,Alternative,Trading Tools,Canada Fund Passive Inverse/Leveraged,Canada,TORONTO STOCK EXCHANGE,Canada,FOUSA06JHJ,Exchange-Traded Fund,
