id,ticker,issue_name,management_fee,other_expenses,total_expenses,fee_waivers,net_expenses,source,source_date,created_at,updated_at,lock_revision
8ab55d16-19de-4bf9-8043-3491220df764,AGQ,ProShares Ultra Silver,0.95,4.34,5.29,0,5.29,Prospectus,2/6/2018,,,
182ba4b4-1492-4a56-b78b-a0fa983f1694,BAR,GraniteShares Gold Shares,0.2,0,0.2,0,0.2,Prospectus,6/8/2018,,,
0fb59168-5171-4934-b9d4-3e934adb4d3b,BDRY,Breakwave Dry Bulk Shipping ETF,1.6,1.44,3.04,0,3.04,Prospectus,3/13/2018,,,
062bfd44-409b-4b12-8873-5f4a6e6504df,BNO,"United States Brent Oil Fund, LP Units",0.75,0.15,0.9,0,0.9,Prospectus,4/27/2018,,,
f27bcae4-962f-4574-97dc-f55d5baeeecc,BOIL,ProShares Ultra Bloomberg Natural Gas,0.95,0.39,1.34,0,1.34,Prospectus,3/28/2017,,,
73392c9d-b6c0-4f13-ab5c-47031b54b8f1,CANE,Teucrium Sugar Fund,1,2.58,3.58,0,3.58,Prospectus,4/30/2018,,,
913df89e-83b7-4819-9034-1455fa82cd55,CMDT,iShares Commodity Optimized Trust Shares,0.75,0.05,0.8,0,0.8,Prospectus,4/27/2018,,,
2ab6ecda-7aea-4a0a-9110-bd0324320f5f,CORN,Teucrium Corn Fund,1,2.65,3.65,0,3.65,Prospectus,4/30/2018,,,
eb1d85b0-0fdb-4f5b-a52a-c91f121c3be3,CPER,United States Copper Index Fund,0.65,0.54,1.19,-0.39,0.8,Prospectus,4/27/2018,,,
994bb473-0d7f-473b-9050-ee09995fe0d2,CROC,ProShares UltraShort Australian Dollar,0.95,0.07,1.02,0,1.02,Prospectus,3/29/2018,,,
202b9bd0-2bf3-43b4-b67b-a71cf0497a46,DBA,Invesco DB Agriculture Fund,0.85,0.04,0.89,0,0.89,Prospectus,3/27/2018,,,
4b6029e1-ecde-425b-a095-a014b371879d,DBB,Invesco DB Base Metals Fund,0.75,0.05,0.8,0,0.8,Prospectus,3/8/2018,,,
c1d72111-c059-4f04-84ea-8e1381b1bac6,DBC,Invesco DB Commodity Index Tracking Fund,0.85,0.04,0.89,0,0.89,Prospectus,3/23/2018,,,
0c20958c-dd05-444d-bbc6-2dd1de7f6a9f,DBE,Invesco DB Energy Fund,0.75,0.03,0.78,0,0.78,Prospectus,3/8/2018,,,
6ac92e09-a5a1-4324-b63c-10ab2a9eb665,DBO,Invesco DB Oil Fund,0.75,0.03,0.78,0,0.78,Prospectus,3/8/2018,,,
39a8bff3-2aa2-4c6b-ae4c-91cd20534e47,DBP,Invesco DB Precious Metals Fund,0.75,0.03,0.78,0,0.78,Prospectus,3/8/2018,,,
