name,datasource_id,issuer_id
Active Weighting Advisors,2,1
Advisors Asset Management Inc.,2,2
AdvisorShares,2,3
Alpha Architect,2,4
AlphaClone,2,5
AlphaMark,2,6
Alps,2,7
American Century,2,8
Amplify,2,9
Anfield Capital,2,10
Aptus,2,11
Ark,2,12
Arrow Investment Advisors,2,13
Bank of Montreal,2,14
Barclays Capital,2,15
Bernstein,2,16
BioShares,2,17
Blackrock,2,18
Brandes,2,19
Breakwave Advisors,2,20
Buzz Media,2,21
Calvert,2,22
Cambria,2,23
Capital Impact Advisors,2,24
CBOE Vest,2,25
Change Finance,2,26
Charles Schwab,2,27
CitiGroup,2,28
ClearShares,2,29
Columbia,2,30
Credit Suisse,2,31
CSat Investment Advisory L.P.,2,32
CSOP,2,33
CWA Asset Management,2,34
Direxion,2,38
Davis Advisors,2,35
Deutsche Bank,2,36
Diamond Hill,2,37
Eaton Vance,2,39
Elkhorn,2,40
EMQQ,2,41
EquBot,2,42
ETF Managers Group,2,43
ETF Securities,2,44
Exchange Traded Concepts,2,45
FFCM,2,46
Fidelity,2,47
Fieldstone,2,48
First Trust,2,49
FormulaFolios,2,50
Franklin Templeton,2,51
Gabelli,2,52
GaveKal,2,53
Global X,2,54
Goldman Sachs,2,55
GraniteShares,2,56
Hartford,2,57
Heinhart,2,58
Horizons,2,59
Hull,2,60
IndexIQ,2,61
InfraCap,2,62
Innovation Shares,2,63
Innovator,2,64
Inspire Investing,2,65
Invesco,2,66
iSectors,2,67
Ivy Funds,2,68
Janus,2,69
John Hancock,2,70
JP Morgan,2,71
KraneShares,2,72
Kraneshares,2,73
Legg Mason,2,74
Little Harbor,2,75
Main Management,2,76
Merrill Lynch,2,77
Metaurus Advisors LLC,2,78
Morgan Stanley,2,79
Motley Fool,2,80
Nationwide,2,81
Natixis,2,82
Northern Trust,2,83
Nuveen,2,84
O'Shares,2,85
Oppenheimer,2,86
Pacer,2,87
PIMCO,2,88
Point Bridge,2,89
Premise Capital,2,90
Principal,2,91
ProShares,2,92
Prudential,2,93
PureFunds,2,94
Pyxis,2,95
QuantX Funds,2,96
Rational Advisors Inc.,2,97
Reality Shares,2,98
Reaves,2,99
Regents Park Funds,2,100
Renaissance,2,101
Rex Shares,2,102
Robo Global,2,103
Saba Capital,2,104
Sage Advisory Services,2,105
Salt Financial,2,106
SerenityShares,2,107
Sit,2,108
SL Advisors LLC,2,109
Sprott,2,110
SSgA,2,111
Teucrium,2,112
Toroso,2,113
Tortoise,2,114
TransAmerica,2,115
TriLine Index Solutions,2,116
TrimTabs Asset Management,2,117
TWM Funds,2,118
UBS,2,119
US Commodity Funds,2,120
US Global,2,121
USAA,2,122
Validea,2,123
ValueShares,2,124
Van Eck,2,125
Vanguard,2,126
Victory Shares,2,127
Vident Financial,2,128
Virtus,2,129
WBI,2,130
WisdomTree,2,131
YieldShares,2,132
